time,latitude,longitude,biomass_kg_per_m,station
2021-05-05 00:00:00+00:00,17.973782,-67.06234,0.828125,MJ4
2021-05-05 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-05-05 00:00:00+00:00,17.97034,-67.04777,0.28125,G1
2021-05-05 00:00:00+00:00,17.944336,-67.002266,0.75,C1_East
2021-05-12 00:00:00+00:00,17.939789,-67.04021,28.992188,ML1
2021-05-12 00:00:00+00:00,17.9394,-67.04,2.25,ML2
2021-05-12 00:00:00+00:00,17.954287,-67.050186,14.6171875,E1
2021-05-12 00:00:00+00:00,17.943748,-67.009384,4.328125,C3_West
2021-05-12 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-05-12 00:00:00+00:00,17.942287,-67.07675,69.11719,SC
2021-05-12 00:00:00+00:00,17.9392,-67.04,0.6796875,ML3
2021-05-12 00:00:00+00:00,17.944336,-67.002266,7.0,C1_East
2021-05-12 00:00:00+00:00,17.968758,-67.076935,0.0,MJ2
2021-05-12 00:00:00+00:00,17.973782,-67.06234,0.2578125,MJ4
2021-05-12 00:00:00+00:00,17.943077,-67.05644,0.0,L1
2021-05-12 00:00:00+00:00,17.943632,-67.00623,50.921875,C2_Center
2021-05-12 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-05-18 00:00:00+00:00,17.968758,-67.076935,2.703125,MJ2
2021-05-18 00:00:00+00:00,17.972672,-67.06536,0.40625,MJ3
2021-05-18 00:00:00+00:00,17.943748,-67.009384,22.859375,C3_West
2021-05-18 00:00:00+00:00,17.9394,-67.04,21.382812,ML2
2021-05-18 00:00:00+00:00,17.939789,-67.04021,33.398438,ML1
2021-05-18 00:00:00+00:00,17.954287,-67.050186,15.2109375,E1
2021-05-18 00:00:00+00:00,17.973782,-67.06234,9.390625,MJ4
2021-05-18 00:00:00+00:00,17.944336,-67.002266,26.757812,C1_East
2021-05-18 00:00:00+00:00,17.942287,-67.07675,48.398438,SC
2021-05-18 00:00:00+00:00,17.943632,-67.00623,35.03125,C2_Center
2021-05-18 00:00:00+00:00,17.97034,-67.04777,0.546875,G1
2021-05-18 00:00:00+00:00,17.943077,-67.05644,2.546875,L1
2021-05-26 00:00:00+00:00,17.954287,-67.050186,12.3203125,E1
2021-05-26 00:00:00+00:00,17.939789,-67.04021,35.546875,ML1
2021-05-26 00:00:00+00:00,17.9394,-67.04,0.0,ML2
2021-05-26 00:00:00+00:00,17.943748,-67.009384,24.132812,C3_West
2021-05-26 00:00:00+00:00,17.942287,-67.07675,28.710938,SC
2021-05-26 00:00:00+00:00,17.972672,-67.06536,9.140625,MJ3
2021-05-26 00:00:00+00:00,17.943632,-67.00623,24.898438,C2_Center
2021-05-26 00:00:00+00:00,17.944336,-67.002266,51.8125,C1_East
2021-05-26 00:00:00+00:00,17.97034,-67.04777,3.2734375,G1
2021-05-26 00:00:00+00:00,17.973782,-67.06234,4.6171875,MJ4
2021-05-26 00:00:00+00:00,17.943077,-67.05644,8.53125,L1
2021-05-26 00:00:00+00:00,17.968758,-67.076935,35.617188,MJ2
2021-06-04 00:00:00+00:00,17.939789,-67.04021,22.289062,ML1
2021-06-04 00:00:00+00:00,17.943748,-67.009384,7.0078125,C3_West
2021-06-04 00:00:00+00:00,17.954287,-67.050186,6.6171875,E1
2021-06-04 00:00:00+00:00,17.944336,-67.002266,27.296875,C1_East
2021-06-04 00:00:00+00:00,17.9394,-67.04,0.0,ML2
2021-06-04 00:00:00+00:00,17.942287,-67.07675,8.6875,SC
2021-06-04 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-06-04 00:00:00+00:00,17.973782,-67.06234,0.0,MJ4
2021-06-04 00:00:00+00:00,17.968758,-67.076935,0.0,MJ2
2021-06-04 00:00:00+00:00,17.943632,-67.00623,36.992188,C2_Center
2021-06-04 00:00:00+00:00,17.943077,-67.05644,7.828125,L1
2021-06-04 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
