time,station,biomass_kg_per_m,biomass_t_r100,biomass_t_r250,biomass_t_r600,biomass_t_domain,biomass_t_r100_lag1w,biomass_t_r250_lag1w,biomass_t_r600_lag1w,biomass_t_domain_lag1w,biomass_t_r100_lag2w,biomass_t_r250_lag2w,biomass_t_r600_lag2w,biomass_t_domain_lag2w,biomass_t_r100_lag3w,biomass_t_r250_lag3w,biomass_t_r600_lag3w,biomass_t_domain_lag3w,latitude,longitude,biomass_t_r100_trend,biomass_t_r250_trend,biomass_t_r600_trend,biomass_t_domain_trend,doy_sin,doy_cos,doy_sin2,doy_cos2
2021-07-23 00:00:00+00:00,C1_East,17.6875,447562.68269823,518381.7447874651,1350869.4238077854,3553164.4429587955,,,,,118629.39342900713,307000.3783027061,868866.3806104001,1338870.467824688,302960.4949693423,647393.4356730416,1107179.8429940606,2018503.214846624,17.944336,-67.002266,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-23 00:00:00+00:00,ML1,5.1796875,448469.53888285055,527764.8778936338,1362377.1101319094,3553164.4429587955,,,,,118395.88686632332,314071.01020104106,870657.5087096125,1338870.467824688,290264.00083848153,650029.5966074523,1108963.434479047,2018503.214846624,17.939789,-67.04021,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-23 00:00:00+00:00,L1,13.7109375,446077.8933060034,559495.817833614,1389005.9605441585,3553164.4429587955,,,,,118700.40006844215,321540.9363651818,876414.0751686489,1338870.467824688,291956.9688577048,653225.8899942923,1114204.5694302525,2018503.214846624,17.943077,-67.05644,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-23 00:00:00+00:00,MJ3,0.0,444098.15362386056,565610.9979332528,1385147.1237978677,3553164.4429587955,,,,,126581.25578631021,317712.9080615262,876409.0924587421,1338870.467824688,287405.72901053715,652995.7621570969,1111608.158669797,2018503.214846624,17.972672,-67.06536,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-23 00:00:00+00:00,C3_West,0.0,448252.6748830922,516302.0569758629,1348691.9803785786,3553164.4429587955,,,,,118797.7094663792,306716.8636965002,868866.3806104002,1338870.467824688,301413.7009558638,647393.4356730417,1107179.8429940606,2018503.214846624,17.943748,-67.009384,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-23 00:00:00+00:00,MJ4,0.0,443855.0667612521,565610.997933253,1385147.1237978677,3553164.4429587955,,,,,128097.36622044002,317712.90806152613,876409.0924587421,1338870.467824688,290639.5418165806,652995.7621570969,1112383.3116616507,2018503.214846624,17.973782,-67.06234,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-23 00:00:00+00:00,G1,0.0,444226.4712189171,536020.162909628,1356275.9908496332,3553164.4429587955,,,,,123338.4890533201,310506.9130832233,868944.149004508,1338870.467824688,292967.13912062766,649799.4687702568,1107654.1514506661,2018503.214846624,17.97034,-67.04777,,,,,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971
2021-07-29 00:00:00+00:00,C2_Center,0.3515625,381277.4052599877,405807.77913025196,1342934.084936859,2487443.56000925,448527.39803291875,517777.5698696315,1349435.073623218,3553164.4429587955,,,,,118797.7094663792,306716.8636965002,868866.3806104002,1338870.467824688,17.943632,-67.00623,-0.16244216654732924,-0.24366561828500188,-0.004829201427087426,-0.35658297788628346,-0.45370308603134424,-0.8911529104063088,0.8086376511543126,0.5883070194512693
2021-07-29 00:00:00+00:00,MJ3,0.0,386204.02722345555,427657.62146012817,1323116.0541090409,2487443.56000925,444098.15362386056,565610.9979332528,1385147.1237978677,3553164.4429587955,,,,,126581.25578631021,317712.9080615262,876409.0924587421,1338870.467824688,17.972672,-67.06536,-0.1396794694128971,-0.2795830632025922,-0.045816725019307114,-0.35658297788628346,-0.45370308603134424,-0.8911529104063088,0.8086376511543126,0.5883070194512693
2021-07-29 00:00:00+00:00,G1,0.0,382884.71683683014,413917.44202458166,1321817.1344660262,2487443.56000925,444226.4712189171,536020.162909628,1356275.9908496332,3553164.4429587955,,,,,123338.4890533201,310506.9130832233,868944.149004508,1338870.467824688,17.97034,-67.04777,-0.14860019861127505,-0.25850468885406386,-0.025735275712394312,-0.35658297788628346,-0.45370308603134424,-0.8911529104063088,0.8086376511543126,0.5883070194512693
2021-07-29 00:00:00+00:00,C3_West,0.0,381257.377020358,405421.32619880757,1340634.2488172634,2487443.56000925,448252.6748830922,516302.0569758629,1348691.9803785786,3553164.4429587955,,,,,118797.7094663792,306716.8636965002,868866.3806104002,1338870.467824688,17.943748,-67.009384,-0.1618820105480996,-0.24176460827132473,-0.005992392885154629,-0.35658297788628346,-0.45370308603134424,-0.8911529104063088,0.8086376511543126,0.5883070194512693
2021-07-29 00:00:00+00:00,SC,78.8125,393192.3555930534,423793.9358172784,1323424.0203109556,2487443.56000925,444623.8164638308,555538.0097739401,1385967.8516968456,3553164.4429587955,,,,,119762.48958197226,320798.40970321617,876414.0751686489,1338870.467824688,17.942287,-67.07675,-0.12292932763788222,-0.2706891349305156,-0.0461763384913354,-0.35658297788628346,-0.45370308603134424,-0.8911529104063088,0.8086376511543126,0.5883070194512693
2021-07-29 00:00:00+00:00,L1,0.0,390418.25525794964,427611.01947729447,1333578.6771337106,2487443.56000925,446077.8933060034,559495.817833614,1389005.9605441585,3553164.4429587955,,,,,118700.40006844215,321540.9363651818,876414.0751686489,1338870.467824688,17.943077,-67.05644,-0.13327465200496036,-0.2688215523007358,-0.04072226171411586,-0.35658297788628346,-0.45370308603134424,-0.8911529104063088,0.8086376511543126,0.5883070194512693
