biomass_t_r100,biomass_t_r250,biomass_t_r600,biomass_t_domain,station,time,latitude,longitude
71459.67155072412,210975.77546295893,466101.4514839696,642908.5169096461,ML3,2021-02-18,17.9392,-67.04
70691.98482336447,211064.2562200009,454593.6076536074,642908.5169096461,MJ2,2021-02-18,17.968758,-67.076935
68339.15737480657,210935.60517553205,456686.133271997,642908.5169096461,SC,2021-02-18,17.942287,-67.07675
69972.08979389194,211282.15192406243,462132.8589829166,642908.5169096461,L1,2021-02-18,17.943077,-67.05644
76412.71252471642,211672.7451948573,471716.0822631266,642908.5169096461,C1_East,2021-02-18,17.944336,-67.002266
71816.01199521426,210510.35122181923,461082.7772312071,642908.5169096461,E1,2021-02-18,17.954287,-67.050186
73841.3728342189,210637.35967086584,460730.6101381633,642908.5169096461,G1,2021-02-18,17.97034,-67.04777
76270.91574626329,211672.7451948573,471483.1741146583,642908.5169096461,C2_Center,2021-02-18,17.943632,-67.00623
75370.16894263637,211672.74519485733,471483.1741146584,642908.5169096461,C3_West,2021-02-18,17.943748,-67.009384
69721.82912607917,211064.2562200009,454593.6076536074,642908.5169096461,MJ1,2021-02-18,17.967564,-67.07653
158331.57226259113,294798.72700568545,919909.4942545288,1662347.249317203,ML1,2021-03-04,17.939789,-67.04021
160302.64110419477,302181.78175459534,926360.7582489802,1662347.249317203,MJ4,2021-03-04,17.973782,-67.06234
157979.7559159579,302332.814498781,923304.6202755428,1662347.249317203,SC,2021-03-04,17.942287,-67.07675
158761.29026701712,294798.72700568545,919909.4942545288,1662347.249317203,ML3,2021-03-04,17.9392,-67.04
158761.29026701712,294798.72700568545,919909.4942545288,1662347.249317203,ML2,2021-03-04,17.9394,-67.04
160147.12724011505,302127.1033115329,925540.585583888,1662347.249317203,MJ3,2021-03-04,17.972672,-67.06536
160065.0041204704,301943.1382238041,922863.166558588,1662347.249317203,MJ2,2021-03-04,17.968758,-67.076935
159253.51848613567,301943.1382238041,922863.166558588,1662347.249317203,MJ1,2021-03-04,17.967564,-67.07653
158606.92682353867,303602.25449843385,928933.1280128805,1662347.249317203,L1,2021-03-04,17.943077,-67.05644
159052.09265930334,293796.6110592198,917722.2859993976,1662347.249317203,E1,2021-03-04,17.954287,-67.050186
161435.0902170513,289945.60273774463,917199.4902377534,1662347.249317203,C3_West,2021-03-04,17.943748,-67.009384
162006.5076096468,289945.60273774463,917254.2482403262,1662347.249317203,C2_Center,2021-03-04,17.943632,-67.00623
162104.54677996103,290043.42019329057,917254.2482403262,1662347.249317203,C1_East,2021-03-04,17.944336,-67.002266
160781.07152779092,293883.8432200804,918001.3044114202,1662347.249317203,G1,2021-03-04,17.97034,-67.04777
111377.28394046622,188019.5750441516,502704.08095916256,880459.1436654229,SC,2021-03-18,17.942287,-67.07675
112453.0957110268,184845.0484505949,502954.0593270298,880459.1436654229,MJ4,2021-03-18,17.973782,-67.06234
112429.6752221646,184845.04845059488,502954.05932703,880459.1436654229,MJ3,2021-03-18,17.972672,-67.06536
112410.36195061237,185942.75162164733,500760.7800425303,880459.1436654229,ML1,2021-03-18,17.939789,-67.04021
113090.45057621947,185942.75162164736,500760.7800425303,880459.1436654229,ML3,2021-03-18,17.9392,-67.04
113090.45057621947,185942.75162164736,500760.7800425303,880459.1436654229,ML2,2021-03-18,17.9394,-67.04
111377.28394046622,185299.53082846312,502528.28029488766,880459.1436654229,MJ2,2021-03-18,17.968758,-67.076935
111377.28394046622,185327.98067397327,502528.28029488766,880459.1436654229,MJ1,2021-03-18,17.967564,-67.07653
111241.3997689979,184986.67783408187,500525.60885568376,880459.1436654229,C2_Center,2021-03-18,17.943632,-67.00623
112500.75624462172,188339.45381228527,503179.7197857175,880459.1436654229,L1,2021-03-18,17.943077,-67.05644
111387.86261089664,184986.67783408187,500525.60885568376,880459.1436654229,C1_East,2021-03-18,17.944336,-67.002266
112517.6605621172,182397.77547383413,499821.9316896752,880459.1436654229,G1,2021-03-18,17.97034,-67.04777
110537.74431209966,184986.67783408184,500525.60885568376,880459.1436654229,C3_West,2021-03-18,17.943748,-67.009384
112517.6605621172,184646.03633190223,499780.8747565984,880459.1436654229,E1,2021-03-18,17.954287,-67.050186
1010.2667103828798,17506.45452026985,291435.82985224004,373719.1654409215,MJ2,2021-04-08,17.968758,-67.076935
1010.2667103828798,17506.45452026985,291267.5936237136,373719.1654409215,SC,2021-04-08,17.942287,-67.07675
185.868882796715,18992.44388708072,295524.52462878404,373719.1654409215,ML3,2021-04-08,17.9392,-67.04
185.868882796715,18992.44388708072,295524.52462878404,373719.1654409215,ML2,2021-04-08,17.9394,-67.04
185.868882796715,18992.443887080728,295524.52462878404,373719.1654409215,ML1,2021-04-08,17.939789,-67.04021
248.8453083197548,18659.983985774696,293516.68083404226,373719.1654409215,MJ4,2021-04-08,17.973782,-67.06234
248.8453083197548,18659.983985774696,293516.68083404226,373719.1654409215,MJ3,2021-04-08,17.972672,-67.06536
248.8453083197548,18805.2067872854,294050.13456574554,373719.1654409215,G1,2021-04-08,17.97034,-67.04777
248.8453083197548,18805.2067872854,293516.68083404226,373719.1654409215,E1,2021-04-08,17.954287,-67.050186
201.4405575341591,19013.69950847981,296918.539205808,373719.1654409215,C3_West,2021-04-08,17.943748,-67.009384
529.3266840559635,19013.69950847981,296918.539205808,373719.1654409215,C2_Center,2021-04-08,17.943632,-67.00623
529.3266840559635,19013.69950847981,296918.539205808,373719.1654409215,C1_East,2021-04-08,17.944336,-67.002266
1010.2667103828798,17506.454520269854,291435.82985224004,373719.1654409215,MJ1,2021-04-08,17.967564,-67.07653
248.8453083197548,18805.206787285395,293516.68083404226,373719.1654409215,L1,2021-04-08,17.943077,-67.05644
401995.2861736313,622218.9013936556,1050975.8634028796,1510542.0164519064,SC,2021-04-15,17.942287,-67.07675
405368.901340426,606436.5068481705,1046768.3090099188,1510542.0164519064,ML1,2021-04-15,17.939789,-67.04021
407972.045752913,622218.9013936556,1049866.851950718,1510542.0164519064,MJ3,2021-04-15,17.972672,-67.06536
406083.1502997436,606436.5068481704,1046768.3090099188,1510542.0164519064,ML3,2021-04-15,17.9392,-67.04
404645.91094478633,622218.9013936556,1048773.4753467173,1510542.0164519064,MJ2,2021-04-15,17.968758,-67.076935
408846.56884280825,622218.9013936556,1050585.1487255464,1510542.0164519064,MJ4,2021-04-15,17.973782,-67.06234
406083.15029974375,606436.5068481704,1046768.3090099188,1510542.0164519064,ML2,2021-04-15,17.9394,-67.04
408401.6967789855,605836.501224048,1049495.6699519726,1510542.0164519064,C3_West,2021-04-15,17.943748,-67.009384
410460.4600067663,606136.1661516142,1051843.2112076154,1510542.0164519064,C1_East,2021-04-15,17.944336,-67.002266
403136.3276028769,622218.9013936556,1049245.4454226703,1510542.0164519064,MJ1,2021-04-15,17.967564,-67.07653
407660.27149329765,606436.5068481705,1036489.0931822576,1510542.0164519064,E1,2021-04-15,17.954287,-67.050186
411636.5646508976,606436.5068481704,1036305.9925830546,1510542.0164519064,G1,2021-04-15,17.97034,-67.04777
410077.4381593972,606136.1661516142,1049495.6699519726,1510542.0164519064,C2_Center,2021-04-15,17.943632,-67.00623
405844.0544841605,622218.9013936556,1056542.9085488578,1510542.0164519064,L1,2021-04-15,17.943077,-67.05644
258424.72792390944,230529.72110302883,1087505.7948108425,1896871.4823444968,G1,2021-04-22,17.97034,-67.04777
257320.23303072536,232805.41061541403,1086901.8569043588,1896871.4823444968,MJ1,2021-04-22,17.967564,-67.07653
256720.75572138888,233402.30796686537,1087685.634237738,1896871.4823444968,SC,2021-04-22,17.942287,-67.07675
253471.67708463865,231570.33264719683,1089587.5851841513,1896871.4823444968,ML3,2021-04-22,17.9392,-67.04
256311.6850128784,231570.3326471969,1089587.5851841513,1896871.4823444968,ML1,2021-04-22,17.939789,-67.04021
252959.04392156465,229913.2367287096,1090388.216703076,1896871.4823444968,C3_West,2021-04-22,17.943748,-67.009384
254051.09890255288,231570.33264719683,1089587.5851841513,1896871.4823444968,ML2,2021-04-22,17.9394,-67.04
257096.83584842665,231804.758184484,1088011.4569823684,1896871.4823444968,E1,2021-04-22,17.954287,-67.050186
252622.2131542452,229913.2367287096,1091794.155184113,1896871.4823444968,C2_Center,2021-04-22,17.943632,-67.00623
252622.2131542452,229977.40386075032,1091931.9713857956,1896871.4823444968,C1_East,2021-04-22,17.944336,-67.002266
256880.6512301116,235071.1215646453,1093044.4404031297,1896871.4823444968,L1,2021-04-22,17.943077,-67.05644
257762.8983361432,232805.41061541403,1086901.8569043586,1896871.4823444968,MJ2,2021-04-22,17.968758,-67.076935
258121.42615149665,234259.0267005257,1088506.7352911795,1896871.4823444968,MJ4,2021-04-22,17.973782,-67.06234
258121.42615149665,234259.0267005257,1088162.0137742483,1896871.4823444968,MJ3,2021-04-22,17.972672,-67.06536
66984.66656634814,48550.2265134599,654103.1243345765,1464917.8874426477,MJ3,2021-04-29,17.972672,-67.06536
66984.66656634814,48550.2265134599,655430.5832959567,1464917.8874426477,MJ4,2021-04-29,17.973782,-67.06234
67145.38880593551,48550.22651345989,653852.651849268,1464917.8874426477,MJ2,2021-04-29,17.968758,-67.076935
67737.96267884238,48969.98272409695,655430.4386212013,1464917.8874426477,SC,2021-04-29,17.942287,-67.07675
66757.24797948488,49134.61662907998,660131.0616331091,1464917.8874426477,ML3,2021-04-29,17.9392,-67.04
66757.24797948488,49134.61662907998,660131.0616331091,1464917.8874426477,ML2,2021-04-29,17.9394,-67.04
66757.24797948488,49134.61662907998,660131.0616331091,1464917.8874426477,ML1,2021-04-29,17.939789,-67.04021
67086.5550944232,48550.2265134599,656219.2986111046,1464917.8874426477,G1,2021-04-29,17.97034,-67.04777
64338.793917365045,48684.23802332303,669037.6645750467,1464917.8874426477,C3_West,2021-04-29,17.943748,-67.009384
64338.793917365045,48684.23802332304,669037.6645750469,1464917.8874426477,C2_Center,2021-04-29,17.943632,-67.00623
63900.96504594225,48684.23802332303,670435.0237841659,1464917.8874426477,C1_East,2021-04-29,17.944336,-67.002266
66502.55235902527,49134.61662907998,659302.2891642437,1464917.8874426477,L1,2021-04-29,17.943077,-67.05644
66890.69318547589,48550.2265134599,653852.651849268,1464917.8874426477,MJ1,2021-04-29,17.967564,-67.07653
67992.658299302,48801.87556838915,658146.621678288,1464917.8874426477,E1,2021-04-29,17.954287,-67.050186
114304.16084921318,47145.63580858879,655600.3471567825,1451763.0114529014,MJ3,2021-05-06,17.972672,-67.06536
108277.74464694828,48907.63424056536,655278.1538050353,1451763.0114529014,SC,2021-05-06,17.942287,-67.07675
102449.8210641044,49502.84147893018,659401.6844196898,1451763.0114529014,ML3,2021-05-06,17.9392,-67.04
102449.8210641044,49502.84147893018,659401.6844196898,1451763.0114529014,ML2,2021-05-06,17.9394,-67.04
102297.67808850307,49502.84147893018,659401.6844196898,1451763.0114529014,ML1,2021-05-06,17.939789,-67.04021
113746.00378066872,47145.63580858879,655600.3471567825,1451763.0114529014,MJ4,2021-05-06,17.973782,-67.06234
114356.21388436436,47145.63580858879,653391.180701939,1451763.0114529014,MJ2,2021-05-06,17.968758,-67.076935
114356.21388436436,47145.63580858879,653972.6543750498,1451763.0114529014,MJ1,2021-05-06,17.967564,-67.07653
105625.75637240252,47145.63580858879,658881.9017426517,1451763.0114529014,E1,2021-05-06,17.954287,-67.050186
96925.50015466336,49502.84147893018,661988.214312907,1451763.0114529014,C3_West,2021-05-06,17.943748,-67.009384
97047.91651008384,49502.84147893018,661988.214312907,1451763.0114529014,C2_Center,2021-05-06,17.943632,-67.00623
95457.91764385947,49502.84147893018,663624.426966011,1451763.0114529014,C1_East,2021-05-06,17.944336,-67.002266
105625.75637240252,49596.67901740763,658626.5784132539,1451763.0114529014,L1,2021-05-06,17.943077,-67.05644
107143.10928044382,47145.63580858879,658779.8335127127,1451763.0114529014,G1,2021-05-06,17.97034,-67.04777
76110.12403290106,119977.67597532096,554088.2064527933,996189.0883450644,MJ3,2021-05-13,17.972672,-67.06536
74771.13263594451,118406.27587092662,558118.3150944836,996189.0883450644,ML2,2021-05-13,17.9394,-67.04
74771.13263594451,118406.27587092662,558118.3150944836,996189.0883450644,ML1,2021-05-13,17.939789,-67.04021
76306.74679804222,119977.67597532096,554088.2064527934,996189.0883450644,MJ4,2021-05-13,17.973782,-67.06234
74771.13263594451,118406.27587092662,558118.3150944836,996189.0883450644,ML3,2021-05-13,17.9392,-67.04
78138.03347256848,119977.67597532096,551770.221378486,996189.0883450644,MJ2,2021-05-13,17.968758,-67.076935
77024.58790222788,120248.77776198096,554507.7026639561,996189.0883450644,SC,2021-05-13,17.942287,-67.07675
75950.47559880961,120810.54836304334,558399.5042460966,996189.0883450644,L1,2021-05-13,17.943077,-67.05644
73490.55722312954,117602.7511288706,564884.2106998226,996189.0883450644,C1_East,2021-05-13,17.944336,-67.002266
76092.3029933815,117657.20984365656,554134.5321969034,996189.0883450644,E1,2021-05-13,17.954287,-67.050186
75289.89928699966,117478.41392800891,550591.1344425272,996189.0883450644,G1,2021-05-13,17.97034,-67.04777
73490.55722312954,117602.7511288706,564884.2106998226,996189.0883450644,C2_Center,2021-05-13,17.943632,-67.00623
73366.01054116605,117602.7511288706,564384.2660191456,996189.0883450644,C3_West,2021-05-13,17.943748,-67.009384
77862.48673791092,119977.67597532096,551770.221378486,996189.0883450644,MJ1,2021-05-13,17.967564,-67.07653
295930.3950052417,253730.8779198585,1039937.6915420695,2156824.6685840064,ML1,2021-05-20,17.939789,-67.04021
303796.9396676905,265661.0614932972,1045911.7394609556,2156824.6685840064,MJ4,2021-05-20,17.973782,-67.06234
299999.23629130423,266732.1630052431,1041920.3053992422,2156824.6685840064,SC,2021-05-20,17.942287,-67.07675
295930.3950052417,253730.8779198585,1039937.6915420695,2156824.6685840064,ML3,2021-05-20,17.9392,-67.04
295930.3950052417,253730.8779198585,1039937.6915420695,2156824.6685840064,ML2,2021-05-20,17.9394,-67.04
303756.51700568176,265661.0614932972,1043337.1748333964,2156824.6685840064,MJ3,2021-05-20,17.972672,-67.06536
